TransactionID,CustomerTenureYears,CustomerSegment,EstimatedIncome,CreditScore,RiskFlag,FraudProbability,ChannelType,CustomerBehaviorScore
TXN00050,3,Premium,1370177,716,Medium,0.138,Autopay,27
TXN00051,9,Premium,1110849,829,Low,0.08,QR,75
TXN00052,2,High Value,1867103,698,High,0.208,QR,64
TXN00053,0,Mid Value,859649,610,Low,0.136,QR,85
TXN00054,4,Low Value,3039971,851,Medium,0.187,Autopay,31
TXN00055,9,Low Value,1635165,639,High,0.248,Mobile,16
TXN00056,2,Mid Value,2397150,698,Low,0.2,Autopay,87
TXN00057,7,Mid Value,1881364,555,High,0.189,QR,16
TXN00058,7,Mid Value,2898865,615,High,0.247,Intent,25
TXN00059,9,High Value,2765762,597,High,0.237,QR,68
TXN00060,8,Premium,1988621,556,Medium,0.209,QR,78
TXN00061,6,Premium,2352763,640,Medium,0.077,Intent,5
TXN00062,9,Low Value,192095,748,High,0.239,Mobile,54
TXN00063,3,Premium,2236022,840,High,0.081,Mobile,12
TXN00064,7,Low Value,2233940,694,Low,0.229,QR,7
TXN00065,7,Low Value,2392282,855,Medium,0.118,Mobile,22
TXN00066,4,Mid Value,1186217,591,Medium,0.231,Intent,54
TXN00067,5,Low Value,282975,714,Low,0.124,Intent,15
TXN00068,9,Mid Value,536924,595,Medium,0.188,Mobile,65
TXN00069,3,High Value,2063541,732,Low,0.06,Mobile,51
TXN00070,6,Mid Value,1964648,683,Low,0.08,Mobile,15
TXN00071,8,Low Value,360139,624,Medium,0.205,Mobile,62
TXN00072,0,Mid Value,1675076,570,Low,0.116,Mobile,13
TXN00073,2,Mid Value,2426303,676,Medium,0.136,Mobile,2
TXN00074,7,Low Value,1720080,727,Medium,0.208,Intent,88
TXN00075,7,Premium,2123724,666,Low,0.031,Mobile,3
TXN00076,9,High Value,1434014,810,Medium,0.009,Intent,32
TXN00077,7,Premium,1194305,703,Low,0.247,Intent,28
TXN00078,3,Low Value,1453742,854,Low,0.175,Intent,46
TXN00079,0,High Value,1099428,559,Medium,0.199,QR,99
TXN00080,8,Premium,888525,727,Medium,0.109,Autopay,84
TXN00081,7,High Value,2066300,791,High,0.192,Autopay,68
TXN00082,7,Premium,3163392,735,Low,0.063,Mobile,80
TXN00083,1,High Value,1977730,791,High,0.25,Mobile,57
TXN00084,1,Low Value,2603680,829,Low,0.234,Intent,72
TXN00085,3,Premium,1109357,769,Medium,0.088,Intent,40
TXN00086,0,High Value,1139824,713,Low,0.207,Autopay,87
TXN00087,8,Premium,2057113,822,Low,0.149,Autopay,1
TXN00088,6,High Value,2284220,871,Medium,0.076,QR,3
TXN00089,4,Low Value,1363253,874,Low,0.059,Mobile,84
TXN00090,5,High Value,2318158,666,Medium,0.035,Mobile,11
TXN00091,6,Mid Value,938465,617,Medium,0.169,Intent,18
TXN00092,2,Premium,1353603,834,Low,0.05,Mobile,33
TXN00093,5,High Value,2368963,690,Medium,0.191,Intent,47
TXN00094,7,High Value,515020,667,Low,0.03,Intent,66
TXN00095,8,Mid Value,1115130,796,Medium,0.022,Autopay,92
TXN00096,4,Mid Value,2246560,820,High,0.049,Intent,55
TXN00097,4,High Value,2502450,720,High,0.105,Autopay,12
TXN00098,7,Mid Value,1044600,833,Low,0.201,Mobile,99
TXN00099,7,Mid Value,2186263,603,High,0.016,Autopay,65
TXN00100,4,Mid Value,2296828,767,Medium,0.13,Autopay,6
TXN00101,9,Premium,582427,577,High,0.144,Autopay,87
TXN00102,0,Low Value,3021526,662,Medium,0.166,Autopay,90
TXN00103,2,Premium,3104002,756,High,0.143,QR,16
TXN00104,0,Low Value,504248,770,Low,0.141,Autopay,36
TXN00105,7,Premium,589716,854,Low,0.19,Mobile,67
TXN00106,1,Mid Value,1041698,601,High,0.247,Intent,61
TXN00107,7,High Value,337160,823,High,0.008,Mobile,67
TXN00108,9,Premium,1910293,719,High,0.164,Autopay,56
TXN00109,8,Low Value,1181435,848,High,0.037,Autopay,91
TXN00110,4,Mid Value,3044597,886,Low,0.061,Mobile,3
TXN00111,0,High Value,3144463,857,Medium,0.035,Intent,47
TXN00112,1,Premium,1550320,762,Medium,0.02,Mobile,59
TXN00113,9,Premium,2743996,705,Low,0.136,Autopay,95
TXN00114,8,Premium,514775,618,High,0.18,Autopay,13
TXN00115,2,Low Value,1468828,628,Medium,0.053,Autopay,86
TXN00116,3,Premium,1180574,689,High,0.003,Mobile,82
TXN00117,1,Premium,1549558,854,Low,0.018,Intent,33
TXN00118,2,High Value,734230,645,Medium,0.196,Autopay,98
TXN00119,7,Mid Value,3190536,551,Medium,0.233,Autopay,59
TXN00120,2,High Value,1734359,859,Medium,0.013,Intent,66
TXN00121,6,Low Value,2165044,681,Medium,0.007,QR,94
TXN00122,0,High Value,2141034,862,Low,0.209,QR,70
TXN00123,9,High Value,746000,607,High,0.199,Mobile,26
TXN00124,2,Premium,927691,898,Low,0.08,Mobile,15
TXN00125,6,Low Value,1766884,789,High,0.035,Intent,41
TXN00126,6,Low Value,3168814,825,Medium,0.01,Autopay,41
TXN00127,2,Premium,1666148,668,Low,0.19,Autopay,97
TXN00128,7,High Value,2050804,848,Medium,0.214,Mobile,8
TXN00129,7,Mid Value,708810,773,High,0.223,Intent,42
TXN00130,0,Premium,2248644,713,High,0.068,Intent,21
TXN00131,6,Mid Value,280303,677,Low,0.213,Mobile,66
TXN00132,5,High Value,596433,634,Low,0.19,QR,76
TXN00133,1,Mid Value,1442960,779,High,0.17,Mobile,19
TXN00134,4,Low Value,2146117,661,Low,0.216,Intent,51
TXN00135,6,Low Value,509533,820,High,0.116,QR,47
TXN00136,0,Mid Value,2743198,755,High,0.091,Intent,48
TXN00137,6,Mid Value,1330412,550,Medium,0.174,QR,96
TXN00138,5,Mid Value,3044231,844,High,0.156,Mobile,3
TXN00139,1,Mid Value,2844801,682,Low,0.168,Mobile,19
TXN00140,2,Low Value,887995,749,Medium,0.206,Intent,67
TXN00141,1,High Value,1380454,626,Low,0.076,Autopay,42
TXN00142,5,Premium,1470472,862,High,0.031,Intent,79
TXN00143,4,Premium,2928233,773,Low,0.172,Intent,68
TXN00144,0,Mid Value,2904051,826,Low,0.022,QR,54
TXN00145,7,Mid Value,2985243,571,High,0.062,Intent,83
TXN00146,8,Mid Value,2605269,888,High,0.215,QR,10
TXN00147,9,Low Value,1850175,581,Medium,0.009,Autopay,13
TXN00148,5,Premium,2171107,704,High,0.075,Intent,24
TXN00149,7,Premium,1842433,766,Low,0.094,Autopay,79
TXN00150,0,High Value,498377,582,Low,0.022,Autopay,96
TXN00151,9,Low Value,1016598,586,Low,0.078,Autopay,81
TXN00152,3,High Value,1180839,787,Low,0.074,Autopay,29
TXN00153,9,Premium,3044101,830,Low,0.036,Mobile,88
TXN00154,1,Premium,1569108,630,Medium,0.076,QR,74
TXN00155,4,Low Value,553943,610,High,0.019,Intent,50
TXN00156,4,High Value,2594930,883,Low,0.106,Intent,34
TXN00157,6,High Value,2635856,852,Medium,0.189,Autopay,50
TXN00158,8,Mid Value,351721,832,Medium,0.058,QR,72
TXN00159,8,Low Value,3011599,890,High,0.156,Autopay,59
TXN00160,9,Low Value,589667,691,Medium,0.098,Autopay,48
TXN00161,2,Mid Value,444547,566,Medium,0.196,Autopay,88
TXN00162,7,High Value,385909,714,High,0.207,Mobile,23
TXN00163,5,Low Value,1749002,761,Low,0.116,QR,96
TXN00164,5,Mid Value,2092406,669,Medium,0.156,Autopay,94
TXN00165,4,Mid Value,823858,551,High,0.145,Intent,80
TXN00166,5,Premium,2548111,748,Low,0.206,QR,61
TXN00167,8,Low Value,918208,884,Medium,0.212,Autopay,96
TXN00168,5,High Value,284078,569,Medium,0.189,Autopay,26
TXN00169,8,Mid Value,356645,841,Medium,0.127,QR,3
TXN00170,1,High Value,2517047,668,Low,0.215,QR,98
TXN00171,1,Premium,2807179,884,Low,0.162,Autopay,90
TXN00172,8,Premium,1102782,604,Medium,0.17,Mobile,90
TXN00173,7,Premium,2209038,641,High,0.076,Mobile,54
TXN00174,0,High Value,2392337,816,Medium,0.212,Mobile,30
TXN00175,3,Mid Value,759700,718,Low,0.177,Intent,87
TXN00176,4,Low Value,2756923,682,High,0.15,Mobile,73
TXN00177,2,High Value,3077696,657,High,0.034,Mobile,66
TXN00178,0,Low Value,1035464,873,Medium,0.054,Autopay,74
TXN00179,3,Premium,2036517,802,Medium,0.214,Autopay,99
TXN00180,5,Low Value,2678554,762,Low,0.047,Mobile,18
TXN00181,1,Premium,2129183,883,Medium,0.131,Mobile,24
TXN00182,2,Mid Value,1462123,692,High,0.171,Mobile,35
TXN00183,4,High Value,418118,562,Low,0.212,Mobile,10
TXN00184,3,Premium,1581590,895,High,0.057,QR,8
TXN00185,0,Premium,1113880,684,Low,0.088,QR,64
TXN00186,6,Mid Value,684045,588,Low,0.125,QR,64
TXN00187,0,Mid Value,2361417,817,Low,0.204,Autopay,76
TXN00188,7,Low Value,2832700,868,High,0.202,Mobile,57
TXN00189,2,High Value,2177601,793,High,0.058,Mobile,98
TXN00190,8,Mid Value,308677,597,Medium,0.175,Intent,57
TXN00191,3,Low Value,1730865,693,Low,0.178,Autopay,57
TXN00192,0,Premium,1864215,806,Low,0.03,QR,68
TXN00193,8,Premium,1744802,785,High,0.1,Autopay,4
TXN00194,4,Mid Value,941869,849,Low,0.123,Mobile,94
TXN00195,2,High Value,2749586,653,Low,0.088,Autopay,73
TXN00196,9,Mid Value,2554285,694,Medium,0.102,Mobile,35
TXN00197,0,Low Value,3173190,594,High,0.074,Intent,41
TXN00198,3,Premium,1807415,657,Medium,0.157,QR,26
TXN00199,8,Premium,1854146,571,Medium,0.004,Mobile,76
TXN00200,1,Premium,2982147,763,High,0.088,QR,32
TXN00201,4,Mid Value,1837792,584,High,0.249,Intent,47
TXN00202,3,Low Value,3163980,807,High,0.182,Mobile,88
TXN00203,3,Low Value,2492908,839,Low,0.238,Intent,20
TXN00204,6,Mid Value,1269665,712,Medium,0.178,Intent,7
TXN00205,7,Mid Value,297645,736,High,0.047,Mobile,15
TXN00206,3,Premium,2698747,603,Medium,0.194,Intent,22
TXN00207,5,Low Value,1638818,765,Medium,0.049,Intent,91
TXN00208,3,Mid Value,259598,715,High,0.19,Intent,79
TXN00209,2,Low Value,1134974,899,Medium,0.115,Intent,34
TXN00210,4,Low Value,2691495,677,High,0.087,Autopay,38
TXN00211,4,Mid Value,2471902,675,Medium,0.195,Intent,20
TXN00212,0,High Value,1696951,643,High,0.013,Mobile,95
TXN00213,3,High Value,1726578,643,Low,0.123,Mobile,36
TXN00214,3,Mid Value,2022647,579,Low,0.209,Autopay,56
TXN00215,8,Mid Value,2339702,893,Low,0.228,Intent,24
TXN00216,3,Mid Value,2941714,582,Low,0.192,QR,77
TXN00217,5,Low Value,1409072,832,High,0.111,Intent,83
TXN00218,6,Mid Value,2298632,608,Low,0.039,Autopay,40
TXN00219,7,High Value,1570203,646,Low,0.211,Autopay,82
TXN00220,5,High Value,2052103,770,Low,0.134,Intent,11
TXN00221,1,Low Value,2864449,696,Medium,0.106,Intent,38
TXN00222,7,Mid Value,1086835,898,Medium,0.058,Autopay,40
TXN00223,0,Premium,383288,639,Medium,0.049,QR,11
TXN00224,2,Low Value,1204976,642,Low,0.022,Intent,21
TXN00225,8,High Value,2464330,581,Low,0.133,QR,68
TXN00226,2,Low Value,845351,591,Medium,0.087,Intent,70
TXN00227,1,Premium,2272217,610,Medium,0.003,QR,59
TXN00228,4,High Value,2969373,854,High,0.003,Mobile,17
TXN00229,0,Mid Value,1856564,613,Medium,0.109,Mobile,97
TXN00230,4,High Value,938218,882,Low,0.192,QR,25
TXN00231,1,High Value,2682449,890,Medium,0.07,Autopay,75
TXN00232,7,High Value,297942,761,Medium,0.048,Mobile,27
TXN00233,3,Mid Value,2647961,853,High,0.237,QR,72
TXN00234,1,Low Value,2632458,725,High,0.09,Mobile,22
TXN00235,6,Mid Value,1732514,556,Medium,0.237,Mobile,26
TXN00236,6,Low Value,408875,678,Medium,0.247,Intent,3
TXN00237,9,Mid Value,2791877,861,High,0.047,Intent,78
TXN00238,6,Low Value,195674,863,Medium,0.2,Intent,83
TXN00239,9,Premium,1041541,627,Low,0.104,Intent,46
TXN00240,6,High Value,3175601,772,Low,0.09,Autopay,25
TXN00241,0,High Value,1110138,835,Medium,0.052,Autopay,18
TXN00242,0,Premium,1748834,581,Low,0.243,Autopay,18
TXN00243,2,Mid Value,1469559,808,Medium,0.209,Mobile,74
TXN00244,9,Low Value,1727342,562,High,0.201,Mobile,3
TXN00245,6,Premium,1482319,880,Low,0.121,Mobile,3
TXN00246,0,High Value,2884819,681,Medium,0.14,Autopay,39
TXN00247,6,Low Value,1997585,889,High,0.09,Mobile,27
TXN00248,7,Low Value,263253,746,Low,0.099,Autopay,83
TXN00249,0,Premium,280728,667,Medium,0.183,Autopay,43
TXN00250,3,Premium,1342150,822,High,0.091,QR,71
TXN00251,9,Low Value,1467534,767,Medium,0.211,Intent,14
TXN00252,0,Premium,2432303,616,High,0.058,Autopay,87
TXN00253,3,Mid Value,1588388,769,Medium,0.013,QR,28
TXN00254,4,Mid Value,1998639,698,Medium,0.202,Intent,13
TXN00255,7,Mid Value,689607,553,Low,0.014,Mobile,81
TXN00256,5,Mid Value,2697593,703,High,0.102,Intent,48
TXN00257,3,High Value,975654,665,Medium,0.051,Mobile,46
TXN00258,8,Mid Value,1434802,860,Medium,0.065,Autopay,50
TXN00259,8,Premium,1096827,798,Low,0.037,Autopay,55
TXN00260,0,Premium,2309360,809,Low,0.048,Autopay,41
TXN00261,6,High Value,1585859,729,Low,0.071,Mobile,31
TXN00262,7,Low Value,520904,672,High,0.023,Intent,40
TXN00263,9,High Value,793955,615,Medium,0.224,Autopay,30
TXN00264,5,Low Value,2483682,843,Medium,0.195,Autopay,81
TXN00265,4,High Value,1508539,721,High,0.048,Mobile,71
TXN00266,9,Premium,1567736,625,Low,0.026,Intent,75
TXN00267,5,Low Value,2283580,584,Low,0.182,Intent,35
TXN00268,2,Mid Value,1907711,760,Medium,0.107,Autopay,32
TXN00269,5,Premium,552202,646,Low,0.222,Intent,59
TXN00270,6,Low Value,640736,781,High,0.138,Mobile,76
TXN00271,6,Low Value,344041,845,High,0.233,QR,31
TXN00272,8,High Value,1019704,660,High,0.195,QR,63
TXN00273,7,High Value,2257584,730,Medium,0.12,Mobile,10
TXN00274,7,Mid Value,2201339,869,High,0.176,Mobile,44
TXN00275,7,Mid Value,825037,875,Medium,0.197,Mobile,40
TXN00276,2,High Value,2775114,648,High,0.222,Mobile,99
TXN00277,6,Premium,1900053,714,Medium,0.023,Intent,44
TXN00278,0,High Value,2539866,659,Medium,0.128,Intent,52
TXN00279,5,Premium,2428219,677,Low,0.164,Autopay,2
TXN00280,2,High Value,708835,841,Low,0.034,Autopay,48
TXN00281,1,High Value,1266805,836,Medium,0.148,Mobile,30
TXN00282,8,Low Value,2162211,663,High,0.075,QR,73
TXN00283,5,Mid Value,2948462,783,Low,0.112,QR,8
TXN00284,9,High Value,2797979,767,Medium,0.179,QR,30
TXN00285,4,Premium,1135214,703,High,0.101,Mobile,26
TXN00286,9,Mid Value,394924,569,Low,0.12,Intent,43
TXN00287,1,High Value,1564204,698,Medium,0.179,QR,63
TXN00288,2,High Value,1384716,609,Medium,0.044,QR,60
TXN00289,0,Low Value,356512,584,Low,0.109,Mobile,56
TXN00290,4,Mid Value,2588678,870,Medium,0.093,QR,66
TXN00291,7,Premium,2952970,660,Low,0.105,Intent,32
TXN00292,0,Low Value,549778,565,High,0.063,Mobile,26
TXN00293,6,High Value,1981707,614,High,0.141,QR,37
TXN00294,2,High Value,1562243,738,High,0.037,Intent,41
TXN00295,4,Mid Value,1915398,645,High,0.039,QR,2
TXN00296,3,Premium,2457050,867,High,0.127,Intent,90
TXN00297,6,Mid Value,1423342,607,Low,0.01,Mobile,2
TXN00298,7,Low Value,777806,838,Medium,0.249,QR,74
TXN00299,6,Low Value,829635,735,Medium,0.081,Mobile,65
TXN00300,3,Mid Value,2894667,792,Medium,0.096,Autopay,5
TXN00301,0,Mid Value,435425,889,High,0.244,Mobile,52
TXN00302,6,Premium,2795781,706,Low,0.218,Mobile,99
TXN00303,4,High Value,2951407,718,High,0.056,Intent,5
TXN00304,7,High Value,1012057,717,Medium,0.152,Autopay,92
TXN00305,6,Mid Value,1871973,769,Low,0.177,Autopay,4
TXN00306,2,Low Value,588544,696,Medium,0.219,Intent,4
TXN00307,9,Mid Value,2939648,751,Medium,0.136,Autopay,19
TXN00308,5,Low Value,2761268,589,Low,0.092,Mobile,51
TXN00309,9,Premium,1061518,894,High,0.224,Intent,89
TXN00310,9,Low Value,1667891,731,High,0.04,Autopay,77
TXN00311,9,Premium,558345,839,Low,0.222,QR,49
TXN00312,8,High Value,265791,873,Medium,0.039,Autopay,16
TXN00313,6,High Value,2668268,845,Medium,0.015,Mobile,96
TXN00314,4,Low Value,2319333,764,High,0.021,QR,29
TXN00315,2,Premium,611213,556,High,0.088,Mobile,54
TXN00316,9,Premium,2646952,793,Low,0.197,Intent,34
TXN00317,4,Mid Value,3000424,626,High,0.044,Intent,55
TXN00318,0,High Value,1190109,830,Medium,0.069,Intent,66
TXN00319,0,Low Value,536286,687,High,0.004,Autopay,53
TXN00320,3,Low Value,1521009,651,Medium,0.211,Autopay,30
TXN00321,4,Mid Value,829439,827,Low,0.103,Autopay,84
TXN00322,9,Mid Value,881770,558,High,0.028,Autopay,34
TXN00323,3,High Value,458392,577,Medium,0.032,Intent,71
TXN00324,9,High Value,2588502,602,Low,0.075,Intent,55
TXN00325,1,High Value,1875560,775,High,0.229,Autopay,31
TXN00326,2,Premium,2585240,878,Medium,0.155,Mobile,34
TXN00327,5,Low Value,3066676,727,Medium,0.002,Autopay,36
TXN00328,4,Mid Value,1161626,732,Low,0.018,QR,71
TXN00329,0,Mid Value,527658,804,Low,0.113,Intent,44
TXN00330,8,Low Value,3007147,712,Low,0.086,Mobile,64
TXN00331,2,Low Value,1919739,787,Medium,0.07,QR,74
TXN00332,3,Mid Value,1919664,783,High,0.07,Autopay,70
TXN00333,9,Low Value,1044203,779,High,0.145,Intent,53
TXN00334,9,High Value,686276,669,High,0.154,QR,73
TXN00335,4,High Value,906517,598,High,0.03,Mobile,53
TXN00336,4,Mid Value,1477132,688,Medium,0.102,Autopay,94
TXN00337,8,Low Value,2135319,610,High,0.195,Autopay,39
TXN00338,2,Low Value,3050887,826,Medium,0.043,Intent,19
TXN00339,1,Mid Value,2874793,883,High,0.02,QR,7
TXN00340,6,High Value,2743924,648,Low,0.211,Intent,43
TXN00341,3,Low Value,2054397,768,Medium,0.095,Mobile,55
TXN00342,8,Premium,415159,755,Medium,0.067,Mobile,58
TXN00343,9,Premium,1357051,874,Low,0.07,QR,27
TXN00344,7,Premium,2348157,797,Medium,0.193,Intent,85
TXN00345,0,Premium,1765508,770,High,0.187,Autopay,57
TXN00346,5,Premium,3011857,761,Medium,0.23,Mobile,80
TXN00347,2,High Value,295719,758,Medium,0.002,Autopay,66
TXN00348,2,Mid Value,355810,776,Low,0.204,Intent,7
TXN00349,8,High Value,407938,831,Low,0.056,QR,56
TXN00350,5,Premium,975853,719,Low,0.215,Intent,35
TXN00351,0,Mid Value,1432350,877,Low,0.048,Autopay,75
TXN00352,5,Mid Value,650784,890,High,0.052,Intent,92
TXN00353,9,Low Value,2148886,667,High,0.121,Mobile,28
TXN00354,8,High Value,1572872,816,Medium,0.167,Intent,76
TXN00355,6,High Value,2664458,644,Medium,0.081,Autopay,8
TXN00356,6,Premium,1839647,779,Medium,0.247,Autopay,40
TXN00357,0,Premium,2360207,781,Low,0.109,Intent,46
TXN00358,4,Premium,324801,632,Low,0.17,Intent,28
TXN00359,7,Mid Value,1548033,709,Low,0.084,Intent,75
TXN00360,3,Premium,1472735,652,Medium,0.225,Mobile,19
TXN00361,0,Low Value,3097843,759,High,0.065,QR,58
TXN00362,1,Mid Value,2922527,878,High,0.219,Mobile,89
TXN00363,6,Mid Value,382305,713,Low,0.137,QR,18
TXN00364,0,Premium,1204416,793,High,0.108,Autopay,6
TXN00365,6,Mid Value,1907367,780,High,0.147,QR,58
TXN00366,1,Low Value,428025,816,Low,0.074,Mobile,24
TXN00367,6,Premium,1579403,843,Medium,0.164,Intent,33
TXN00368,4,Mid Value,438819,676,High,0.157,Autopay,37
TXN00369,2,Low Value,1481428,893,Low,0.161,Autopay,18
TXN00370,5,Mid Value,2024790,600,Low,0.161,Intent,24
TXN00371,4,Premium,792662,794,High,0.021,Autopay,11
TXN00372,6,Low Value,1957202,707,Low,0.23,Autopay,48
TXN00373,2,Mid Value,2700657,650,High,0.074,Autopay,47
TXN00374,9,Mid Value,502643,707,Medium,0.212,Autopay,82
TXN00375,2,Mid Value,763781,894,Medium,0.224,Autopay,75
TXN00376,7,Mid Value,2688159,659,Medium,0.103,Mobile,20
TXN00377,5,Mid Value,939640,656,Medium,0.162,Autopay,73
TXN00378,0,Premium,1001105,632,Medium,0.058,Intent,17
TXN00379,7,High Value,952817,612,Medium,0.088,Mobile,51
TXN00380,8,Low Value,399214,797,Medium,0.127,Autopay,25
TXN00381,8,Premium,534614,629,Low,0.044,QR,41
TXN00382,8,Premium,261045,745,High,0.164,QR,51
TXN00383,0,High Value,247053,568,Medium,0.031,Mobile,7
TXN00384,7,Premium,185119,804,Medium,0.021,Intent,35
TXN00385,2,Low Value,688507,700,Medium,0.113,Mobile,76
TXN00386,0,Mid Value,2531189,726,Low,0.117,Mobile,4
TXN00387,7,Low Value,943914,728,Medium,0.244,Mobile,26
TXN00388,1,High Value,923957,854,Low,0.136,QR,94
TXN00389,1,Mid Value,1630595,737,Low,0.109,Autopay,29
TXN00390,9,Mid Value,361145,871,High,0.23,Mobile,60
TXN00391,5,Mid Value,1519940,851,Medium,0.243,Autopay,46
TXN00392,1,High Value,2189825,576,High,0.204,Autopay,12
TXN00393,5,Premium,2049408,569,Low,0.051,Autopay,91
TXN00394,9,Mid Value,2758322,639,High,0.005,Intent,39
TXN00395,6,Mid Value,2684529,856,Medium,0.018,QR,90
TXN00396,4,High Value,743480,679,Medium,0.049,Mobile,43
TXN00397,9,Low Value,2097050,757,High,0.049,Intent,82
TXN00398,8,Low Value,1723530,609,Medium,0.13,Autopay,40
TXN00399,7,Mid Value,396459,737,Low,0.211,Autopay,65
TXN00400,5,Low Value,975288,570,Low,0.016,Mobile,10
TXN00401,1,High Value,346068,780,High,0.243,Intent,66
TXN00402,8,Premium,839044,617,High,0.216,Intent,28
TXN00403,0,Premium,2358232,564,High,0.202,QR,80
TXN00404,5,Low Value,1431772,788,Low,0.141,Mobile,28
TXN00405,3,Mid Value,1484516,748,Low,0.049,QR,4
TXN00406,9,High Value,2192925,875,Low,0.003,Intent,67
TXN00407,0,Mid Value,2772928,552,Low,0.153,Autopay,72
TXN00408,4,Mid Value,521921,569,High,0.041,Autopay,19
TXN00409,8,Premium,2226025,668,High,0.087,QR,54
TXN00410,6,Premium,3069016,782,Low,0.205,Mobile,78
TXN00411,2,High Value,1534582,708,Medium,0.145,QR,59
TXN00412,4,Low Value,2228663,893,Low,0.238,QR,57
TXN00413,3,High Value,785307,695,Low,0.102,Mobile,5
TXN00414,2,Premium,424398,617,Low,0.129,Intent,27
TXN00415,0,Premium,1506787,728,Low,0.044,Mobile,33
TXN00416,0,High Value,334149,760,High,0.151,Mobile,11
TXN00417,4,Low Value,694971,874,High,0.037,Autopay,85
TXN00418,2,Low Value,2625167,758,High,0.005,Mobile,60
TXN00419,5,High Value,389615,607,Medium,0.242,Mobile,23
TXN00420,0,High Value,3087354,563,High,0.177,Mobile,63
TXN00421,0,Premium,2831771,726,High,0.237,Autopay,27
TXN00422,3,Premium,3088422,813,High,0.047,Mobile,78
TXN00423,8,Premium,206505,791,High,0.011,Mobile,59
TXN00424,5,High Value,676267,730,Low,0.168,Mobile,77
TXN00425,3,Premium,1633558,844,Low,0.197,Intent,74
TXN00426,1,Premium,2925776,730,Medium,0.097,Autopay,42
TXN00427,4,Premium,816648,754,High,0.19,QR,13
TXN00428,7,Low Value,577044,694,Low,0.158,Mobile,53
TXN00429,3,High Value,946113,582,Low,0.128,QR,70
TXN00430,2,High Value,2832102,598,High,0.139,Intent,78
TXN00431,2,High Value,2636833,819,High,0.066,Mobile,7
TXN00432,2,Low Value,1884982,786,Medium,0.223,Autopay,88
TXN00433,6,Premium,2713962,687,Low,0.228,Mobile,4
